Var1,Var2,Var3
83332.Rv1656,83332.Rv1653,999
83332.Rv1656,83332.Rv1658,999
83332.Rv1656,83332.Rv1659,998
83332.Rv1658,83332.Rv1653,998
83332.Rv1658,83332.Rv1656,999
83332.Rv1658,83332.Rv1659,999
83332.Rv1659,83332.Rv1656,998
83332.Rv1659,83332.Rv1658,999
83332.Rv1709,83332.Rv1710,996
83332.Rv1710,83332.Rv1709,996
83332.Rv1826,83332.Rv1832,998
83332.Rv1826,83332.Rv2211c,999
83332.Rv1832,83332.Rv1826,998
83332.Rv1832,83332.Rv2211c,999
83332.Rv1843c,83332.Rv3396c,996
83332.Rv1848,83332.Rv1849,999
83332.Rv1848,83332.Rv1850,999
83332.Rv1848,83332.Rv1851,997
83332.Rv1848,83332.Rv1852,999
83332.Rv1849,83332.Rv1848,999
83332.Rv1849,83332.Rv1850,999
83332.Rv1849,83332.Rv1851,997
83332.Rv1849,83332.Rv1852,999
83332.Rv1850,83332.Rv1848,999
83332.Rv1850,83332.Rv1849,999
83332.Rv1850,83332.Rv1851,997
83332.Rv1850,83332.Rv1852,999
83332.Rv1851,83332.Rv1848,997
83332.Rv1851,83332.Rv1849,997
83332.Rv1851,83332.Rv1850,997
83332.Rv1851,83332.Rv1852,997
83332.Rv1852,83332.Rv1848,999
83332.Rv1852,83332.Rv1849,999
83332.Rv1852,83332.Rv1850,999
83332.Rv1852,83332.Rv1851,997
83332.Rv1857,83332.Rv1858,999
83332.Rv1858,83332.Rv1857,999
83332.Rv1858,83332.Rv1859,997
83332.Rv1859,83332.Rv1858,997
83332.Rv1915,83332.Rv1916,999
83332.Rv1916,83332.Rv1915,999
83332.Rv1959c,83332.Rv1960c,997
83332.Rv1960c,83332.Rv1959c,997
83332.Rv1981c,83332.Rv3051c,997
83332.Rv2013,83332.Rv2014,996
83332.Rv2014,83332.Rv2013,996
83332.Rv2038c,83332.Rv2039c,996
83332.Rv2038c,83332.Rv2040c,997
83332.Rv2039c,83332.Rv2038c,996
83332.Rv2039c,83332.Rv2040c,997
83332.Rv2039c,83332.Rv2041c,997
83332.Rv2040c,83332.Rv2038c,997
83332.Rv2040c,83332.Rv2039c,997
83332.Rv2040c,83332.Rv2041c,998
83332.Rv2041c,83332.Rv2039c,997
83332.Rv2041c,83332.Rv2040c,998
83332.Rv2056c,83332.Rv0705,999
83332.Rv2057c,83332.Rv0641,999
83332.Rv2064,83332.Rv2066,998
83332.Rv2065,83332.Rv2066,999
83332.Rv2066,83332.Rv2064,998
83332.Rv2066,83332.Rv2065,999
83332.Rv2066,83332.Rv2071c,998
83332.Rv2070c,83332.Rv2072c,999
83332.Rv2071c,83332.Rv2066,998
83332.Rv2072c,83332.Rv2070c,999
83332.Rv2101,83332.Rv2102,997
83332.Rv2102,83332.Rv2101,997
83332.Rv2109c,83332.Rv2110c,999
83332.Rv2110c,83332.Rv2109c,999
83332.Rv2121c,83332.Rv1599,996
83332.Rv2121c,83332.Rv2122c,997
83332.Rv2122c,83332.Rv1606,997
83332.Rv2122c,83332.Rv2121c,997
83332.Rv2152c,83332.Rv0482,997
83332.Rv2152c,83332.Rv2155c,998
83332.Rv2153c,83332.Rv2155c,997
83332.Rv2153c,83332.Rv2156c,999
83332.Rv2153c,83332.Rv2158c,998
83332.Rv2155c,83332.Rv2152c,998
83332.Rv2155c,83332.Rv2153c,997
83332.Rv2155c,83332.Rv2156c,997
83332.Rv2155c,83332.Rv2158c,998
83332.Rv2156c,83332.Rv2153c,999
83332.Rv2156c,83332.Rv2155c,997
83332.Rv2156c,83332.Rv2157c,999
83332.Rv2156c,83332.Rv2158c,998
83332.Rv2157c,83332.Rv2156c,999
83332.Rv2157c,83332.Rv2158c,999
83332.Rv2158c,83332.Rv2153c,998
83332.Rv2158c,83332.Rv2155c,998
83332.Rv2158c,83332.Rv2156c,998
83332.Rv2158c,83332.Rv2157c,999
83332.Rv2192c,83332.Rv0013,996
83332.Rv2192c,83332.Rv1609,998
83332.Rv2192c,83332.Rv1611,999
83332.Rv2193,83332.Rv1451,996
